City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,-9.09,73,75,2.57,SJ,1734195792
1,bethel,41.3712,-73.414,-0.15,56,0,2.24,US,1734195988
2,ubinskoye,55.3068,79.6802,-9.02,90,59,4.49,RU,1734196040
3,port-aux-francais,-49.35,70.2167,5.44,81,60,4.35,TF,1734196041
4,tobelo,1.7284,128.0095,26.48,82,99,2.13,ID,1734196042
5,bontang,0.1333,117.5,26.2,87,100,4.62,ID,1734196043
6,grytviken,-54.2811,-36.5092,7.14,57,44,2.42,GS,1734196045
7,uturoa,-16.7333,-151.4333,24.22,90,100,10.18,PF,1734196046
8,yellowknife,62.456,-114.3525,-26.63,95,98,2.46,CA,1734196047
9,enewetak,11.3474,162.3373,27.83,77,38,9.28,MH,1734196048
10,taoudenni,22.6783,-3.9836,28.29,8,2,5.83,ML,1734196050
11,edinburgh of the seven seas,-37.0676,-12.3116,12.78,61,40,5.83,SH,1734196051
12,nar'yan-mar,67.6713,53.087,-20.71,89,94,2.91,RU,1734196052
13,ushuaia,-54.8,-68.3,11.81,50,40,7.72,AR,1734196053
14,blackmans bay,-43.0167,147.3167,12.07,72,33,2.11,AU,1734196054
15,newport,51.5877,-2.9984,7.91,82,74,4.37,GB,1734196055
16,queenstown,-31.8976,26.8753,17.83,56,0,8.71,ZA,1734196058
17,geraldton,-28.7667,114.6,21.23,78,100,4.63,AU,1734196059
18,cabo san lucas,22.8909,-109.9124,27.64,55,20,1.03,MX,1734196060
19,mount gambier,-37.8333,140.7667,10.45,88,0,2.12,AU,1734196061
20,hermanus,-34.4187,19.2345,22.11,63,0,3.15,ZA,1734196062
21,east london,-33.0153,27.9116,21.04,66,10,5.75,ZA,1734196063
22,aasiaat,68.7098,-52.8699,-10.97,93,95,1.73,GL,1734196064
23,waitangi,-43.9535,-176.5597,16.01,95,92,1.79,NZ,1734196065
24,adamstown,-25.066,-130.1015,23.14,82,6,6.48,PN,1734196067
25,luena,-11.7833,19.9167,22.05,67,18,0.48,AO,1734196069
26,donetsk,48.0,37.8,-5.71,70,17,3.7,UA,1734196070
27,puerto ayacucho,5.6639,-67.6236,35.76,38,0,1.95,VE,1734196071
28,dudinka,69.4058,86.1778,-9.1,94,100,7.41,RU,1734196072
29,saint-philippe,-21.3585,55.7679,24.94,73,63,4.63,RE,1734196073
30,longford,53.7333,-7.8,7.56,94,100,5.07,IE,1734196075
31,sao vicente,-23.9631,-46.3919,23.91,88,100,2.37,BR,1734196076
32,invercargill,-46.4,168.35,7.23,92,74,2.49,NZ,1734196077
33,salekhard,66.53,66.6019,-13.84,94,100,6.57,RU,1734196078
34,yangjiang,21.85,111.9667,13.32,44,96,2.78,CN,1734196079
35,ingeniero jacobacci,-41.3427,-69.5448,25.42,16,0,0.77,AR,1734196080
36,kapa'a,22.0752,-159.319,24.18,83,100,7.2,US,1734196081
37,vorgashor,67.5833,63.95,-15.76,93,100,6.96,RU,1734196083
38,mata-utu,-13.2816,-176.1745,27.63,78,52,7.1,WF,1734196084
39,mandalgovi,45.7625,106.2708,-12.28,66,59,3.87,MN,1734196085
40,jamestown,42.097,-79.2353,-1.66,58,0,3.6,US,1734195952
41,encheng,22.1839,112.3026,13.12,41,78,3.45,CN,1734195915
42,badger,64.8,-147.5333,-21.05,71,0,3.09,US,1734196088
43,saldanha,-33.0117,17.9442,17.57,73,0,7.99,ZA,1734196089
44,ust-nera,64.5667,143.2,-28.82,98,90,0.71,RU,1734196090
45,petropavlovsk-kamchatsky,53.0452,158.6483,-9.21,81,88,5.56,RU,1734196092
46,kingston,17.997,-76.7936,28.53,61,20,2.06,JM,1734195908
47,lagos,6.5833,3.75,28.87,65,71,3.35,NG,1734195603
48,bilibino,68.0546,166.4372,-26.37,100,95,1.11,RU,1734196095
49,lihue,21.9789,-159.3672,23.77,83,100,7.2,US,1734196097
50,albany,42.6001,-73.9662,-1.16,59,2,0.45,US,1734196038
51,shulan,44.4167,126.95,-10.18,79,100,5.45,CN,1734196101
52,freetown,8.484,-13.2299,30.3,60,6,5.2,SL,1734196102
53,iqaluit,63.7506,-68.5145,-18.2,98,82,5.52,CA,1734196103
54,saipan,15.1355,145.701,27.39,82,20,4.63,MP,1734196105
55,island harbour,50.724,-1.2758,7.04,52,68,1.34,GB,1734196106
56,atafu village,-8.5421,-172.5159,27.81,77,40,5.65,TK,1734196107
57,westport,41.1415,-73.3579,0.75,50,0,3.6,US,1734196108
58,kiffa,16.6166,-11.4045,36.4,12,22,7.64,MR,1734196109
59,bandipura,34.4167,74.65,1.84,45,74,4.2,IN,1734196106
60,kotido,2.9806,34.1331,28.95,31,95,6.69,UG,1734196111
61,port lincoln,-34.7333,135.8667,19.3,75,6,3.97,AU,1734196112
62,buarcos,40.166,-8.8768,14.09,68,97,2.33,PT,1734196114
63,port alfred,-33.5906,26.891,21.21,78,3,1.79,ZA,1734196115
64,georgetown,5.4112,100.3354,26.96,78,20,1.03,MY,1734196007
65,hawaiian paradise park,19.5933,-154.9731,20.73,96,75,1.54,US,1734196117
66,livadiya,42.8692,132.6764,-5.65,57,15,5.45,RU,1734196118
