City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,12.72,67,45,3.37,SH,1734225914
1,port mathurin,-19.6833,63.4167,25.38,74,41,7.97,MU,1734226125
2,hadibu,12.65,54.0333,23.82,79,59,4.93,YE,1734226126
3,kingston,17.997,-76.7936,22.34,85,0,2.0,JM,1734225499
4,san pedro pochutla,15.7333,-96.4667,31.84,84,100,1.51,MX,1734226128
5,puerto natales,-51.7236,-72.4875,9.17,75,80,1.9,CL,1734226129
6,olonkinbyen,70.9221,-8.7187,-2.49,98,100,9.31,SJ,1734226131
7,wailua homesteads,22.0669,-159.378,25.63,79,40,6.17,US,1734226132
8,gobabis,-22.45,18.9667,23.77,47,100,2.74,NA,1734226133
9,pevely,38.2834,-90.3951,9.27,95,100,6.44,US,1734226048
10,waitangi,-43.9535,-176.5597,15.0,98,100,2.75,NZ,1734226135
11,kourou,5.1552,-52.6478,24.75,92,89,2.2,GF,1734226136
12,blackmans bay,-43.0167,147.3167,21.4,61,6,0.89,AU,1734226137
13,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,46,40,2.0,RU,1734226138
14,isafjordur,66.0755,-23.124,-2.51,85,97,10.91,IS,1734226140
15,bethel,41.3712,-73.414,-2.99,66,7,1.44,US,1734226141
16,viedma,-40.8135,-62.9967,20.16,53,0,4.29,AR,1734225612
17,hamilton,39.1834,-84.5333,7.28,78,100,6.17,US,1734225922
18,port alfred,-33.5906,26.891,17.88,87,0,0.45,ZA,1734225994
19,avarua,-21.2078,-159.775,25.03,94,75,12.35,CK,1734226004
20,port-aux-francais,-49.35,70.2167,2.81,98,100,4.7,TF,1734226146
21,sinabang,2.4803,96.3801,26.65,85,100,1.08,ID,1734226147
22,mitchell,43.7094,-98.0298,-1.58,99,100,2.68,US,1734225987
23,bilibino,68.0546,166.4372,-25.32,100,93,0.76,RU,1734226150
24,debila,33.5167,6.95,8.04,76,0,1.54,DZ,1734226151
25,slave lake,55.2834,-114.769,-7.01,93,100,5.14,CA,1734226080
26,kendari,-3.945,122.4989,26.78,88,100,1.18,ID,1734226153
27,grytviken,-54.2811,-36.5092,4.66,74,98,0.59,GS,1734226154
28,port elizabeth,-33.918,25.5701,17.16,93,0,3.09,ZA,1734226117
29,labrador city,52.9463,-66.9114,-12.05,72,75,6.17,CA,1734226156
30,athol,42.5959,-72.2268,-6.81,79,0,0.0,US,1734226158
31,georgetown,5.4112,100.3354,27.96,83,20,1.54,MY,1734226159
32,hithadhoo,-0.6,73.0833,27.79,79,9,7.2,MV,1734226160
33,ogoja,6.6547,8.7976,23.66,22,87,3.23,NG,1734226161
34,ivdel',60.6911,60.4206,-14.81,93,100,1.78,RU,1734226162
35,ruangwa,-10.0667,38.9333,22.93,98,100,1.54,TZ,1734226163
36,adamstown,-25.066,-130.1015,23.82,82,53,8.32,PN,1734226164
37,iqaluit,63.7506,-68.5145,-13.15,71,40,2.57,CA,1734226165
38,kamina,-8.7386,24.9906,17.77,97,100,1.67,CD,1734226166
39,papao,-17.75,-149.55,28.82,76,100,5.43,PF,1734226168
40,belyy yar,53.6039,91.3903,-17.06,85,100,0.0,RU,1734226169
41,itupiranga,-5.1347,-49.3267,24.23,93,100,0.89,BR,1734226170
42,codrington,-38.2667,141.9667,27.2,36,0,1.25,AU,1734226171
43,kailua-kona,19.6406,-155.9956,27.93,80,40,4.12,US,1734226172
44,constitucion,-35.3333,-72.4167,13.07,80,0,3.3,CL,1734226173
45,city of balikpapan,-1.242,116.8942,23.97,88,20,4.63,ID,1734226174
46,badger,64.8,-147.5333,-27.57,83,20,0.0,US,1734226176
47,jabor,5.921,169.6434,28.29,72,100,8.03,MH,1734226177
48,sinop,41.7711,34.8709,-2.2,73,100,7.33,TR,1734226179
49,midvagur,62.0511,-7.1939,9.46,93,100,11.32,FO,1734226180
50,berdigestyakh,62.0989,126.6992,-30.19,98,89,2.29,RU,1734226181
51,floro,61.5996,5.0328,3.98,87,100,7.72,NO,1734226182
52,yellowknife,62.456,-114.3525,-26.36,76,20,1.54,CA,1734226184
53,ambalangoda,6.2355,80.0538,26.66,90,100,2.23,LK,1734226185
54,hastings,50.8552,0.5729,5.66,51,37,5.41,GB,1734226186
55,homer,59.6425,-151.5483,-0.13,93,75,2.57,US,1734226187
56,kaitong,44.8135,123.15,-9.01,65,0,5.06,CN,1734226188
57,enewetak,11.3474,162.3373,27.74,79,3,10.2,MH,1734226189
58,ribeira grande,38.5167,-28.7,16.54,70,95,7.6,PT,1734226190
59,talnakh,69.4865,88.3972,-11.44,91,100,5.36,RU,1734226191
60,san carlos,9.6612,-68.5827,26.37,58,55,1.64,VE,1734226193
61,lebu,-37.6167,-73.65,12.89,88,0,7.63,CL,1734226194
62,west island,-12.1568,96.8225,26.99,83,75,4.63,CC,1734226195
63,ushuaia,-54.8,-68.3,8.81,57,75,3.09,AR,1734226091
64,horodenka,48.6727,25.5016,-3.49,97,100,1.5,UA,1734226197
65,moose jaw,50.4001,-105.5344,1.14,69,100,3.09,CA,1734226134
66,liwale,-9.7667,37.9333,21.69,98,95,1.39,TZ,1734226199
67,whitehorse,60.7161,-135.0538,-13.57,92,100,1.03,CA,1734226140
68,lihue,21.9789,-159.3672,25.97,73,40,6.17,US,1734226201
69,kununurra,-15.7667,128.7333,33.99,66,80,1.03,AU,1734226203
70,ust-tsilma,65.441,52.1498,-18.33,94,100,1.83,RU,1734226204
71,lompoc,34.6391,-120.4579,13.4,72,0,3.6,US,1734226205
